camera,status,num_composition,num_compostition_camera,last_time_check_on_camera,last_lat_on_camera,last_lon_on_camera,vendor
tv_ngpt_tram_vitaz_31124_2,+,31124,2,2023-02-15 04:02:42.854000,55.83256833333333,37.644365,tv
tv_ngpt_tram_vitaz_31124_3,+,31124,3,2023-02-15 03:48:57.984000,55.83256833333333,37.644365,tv
tv_ngpt_tram_vitaz_31124_4,+,31124,4,2023-02-15 05:14:35.935000,55.83263333333333,37.64434666666667,tv
tv_ngpt_tram_vitaz_31124_5,+,31124,5,2023-02-15 05:15:02.625000,55.83263333333333,37.64434666666667,tv
tv_ngpt_tram_vitaz_31124_6,+,31124,6,2023-02-15 02:01:06.785000,55.812635,37.69729666666667,tv
tv_ngpt_tram_vitaz_31125_1,+,31125,1,,,,
tv_ngpt_tram_vitaz_31125_2,+,31125,2,2023-02-13 14:21:58.754000,55.84597,37.66952333333334,tv
tv_ngpt_tram_vitaz_31125_3,+,31125,3,2023-02-23 13:10:58.355000,55.84357833333333,37.66607166666667,tv
tv_ngpt_tram_vitaz_31125_4,+,31125,4,,,,
tv_ngpt_tram_vitaz_31125_5,+,31125,5,2023-02-20 07:12:24.991000,55.81514333333333,37.696131666666666,tv
tv_ngpt_tram_vitaz_31125_6,+,31125,6,,,,
tv_ngpt_tram_vitaz_31126_1,+,31126,1,,,,
tv_ngpt_tram_vitaz_31126_2,+,31126,2,,,,
tv_ngpt_tram_vitaz_31126_3,+,31126,3,,,,
tv_ngpt_tram_vitaz_31126_4,+,31126,4,,,,
tv_ngpt_tram_vitaz_31126_5,+,31126,5,,,,
tv_ngpt_tram_vitaz_31126_6,+,31126,6,,,,
tv_ngpt_tram_vitaz_31127_1,+,31127,1,2023-02-27 09:28:47.444000,55.802388333333326,37.727023333333335,tv
tv_ngpt_tram_vitaz_31127_2,+,31127,2,2023-02-27 09:28:45.520000,55.802388333333326,37.727023333333335,tv
tv_ngpt_tram_vitaz_31127_3,+,31127,3,2023-02-27 09:28:48.329000,55.802388333333326,37.727023333333335,tv
tv_ngpt_tram_vitaz_31127_4,+,31127,4,,,,
tv_ngpt_tram_vitaz_31127_5,+,31127,5,,,,
tv_ngpt_tram_vitaz_31127_6,+,31127,6,,,,
tv_ngpt_tram_vitaz_31128_1,+,31128,1,2023-02-27 09:26:55.644000,55.86806,37.66338399999999,tv
tv_ngpt_tram_vitaz_31128_2,+,31128,2,2023-02-27 09:28:46.902000,55.864233,37.661460000000005,tv
tv_ngpt_tram_vitaz_31128_3,+,31128,3,2023-02-27 09:28:45.495000,55.864233,37.661460000000005,tv
tv_ngpt_tram_vitaz_31128_4,+,31128,4,2023-02-27 09:28:49.198000,55.864233,37.661460000000005,tv
tv_ngpt_tram_vitaz_31128_5,+,31128,5,2023-02-27 09:28:49.005000,55.864233,37.661460000000005,tv
tv_ngpt_tram_vitaz_31128_6,+,31128,6,2023-02-27 09:27:12.153000,55.86806,37.66338399999999,tv
tv_ngpt_tram_vitaz_31129_1,+,31129,1,2023-02-26 22:19:56.750000,55.8329389,37.6447443,tv
tv_ngpt_tram_vitaz_31129_2,+,31129,2,2023-02-26 15:47:58.117000,0.0,0.0,tv
tv_ngpt_tram_vitaz_31129_3,+,31129,3,2023-02-26 19:18:12.734000,55.83301629999999,37.6444837,tv
tv_ngpt_tram_vitaz_31129_4,+,31129,4,2023-02-25 09:36:35.988000,55.83295029999999,37.644387,tv
tv_ngpt_tram_vitaz_31129_5,+,31129,5,2023-02-26 15:41:34.661000,0.0,0.0,tv
tv_ngpt_tram_vitaz_31129_6,+,31129,6,2023-02-26 20:59:08.143000,55.8314916,37.6451977,tv
tv_ngpt_tram_vitaz_31130_1,+,31130,1,2023-02-27 04:24:14.535000,55.832836666666665,37.64463166666667,tv
tv_ngpt_tram_vitaz_31130_2,+,31130,2,2023-02-20 17:14:23.918000,55.833015,37.64665166666667,tv
tv_ngpt_tram_vitaz_31130_3,+,31130,3,2023-02-26 22:37:12.472000,55.784490000000005,37.598598333333335,tv
tv_ngpt_tram_vitaz_31130_4,+,31130,4,2023-01-11 11:22:06.220000,55.817013333333335,37.68781666666666,tv
tv_ngpt_tram_vitaz_31130_5,+,31130,5,2023-02-26 23:48:26.260000,55.79718833333333,37.714845,tv
tv_ngpt_tram_vitaz_31130_6,+,31130,6,,,,
tv_ngpt_tram_vitaz_31261_1,+,31261,1,,,,
tv_ngpt_tram_vitaz_31261_2,+,31261,2,,,,
tv_ngpt_tram_vitaz_31261_3,+,31261,3,,,,
tv_ngpt_tram_vitaz_31261_4,+,31261,4,,,,
tv_ngpt_tram_vitaz_31261_5,+,31261,5,,,,
tv_ngpt_tram_vitaz_31261_6,+,31261,6,,,,
